  ORIGINAL		  PREDICTED		  ERROR
42.5704226149		58.3949924529		-15.8245698381
28.4729909207		42.5743188936		-14.1013279728
-0.984161167048		28.4574418288		-29.4416029958
-26.3330023744		-0.981430778242		-25.3515715962
-40.2053249586		-26.3184953645		-13.8868295941
-43.6854205284		-40.1436693914		-3.54175113701
-36.7457032152		-43.2527023943		6.50699917914
-14.5053646294		-36.7127813782		22.2074167488
6.31588837722		-14.5068946639		20.8227830412
27.6382929885		6.31645268261		21.3218403059
43.416989276		27.6302976546		15.7866916214
54.0197275535		43.4023038381		10.6174237155
50.7647018385		53.7848530259		-3.02015118741
44.7132636672		50.7020138923		-5.98875022505
26.2215898958		44.6752172729		-18.4536273771
8.04924742435		26.2220649908		-18.1728175664
-12.3547291151		8.04625152507		-20.4009806402
-22.7169354996		-12.3342392692		-10.3826962303
-31.2107223174		-22.7064597162		-8.50426260117
-21.6705724155		-30.8813428662		9.21077045065
-0.381680116996		-21.6469910003		21.2653108833
14.7234740724		-0.390928399009		15.1144024714
22.2659387539		14.6950418077		7.57089694618
34.2570619006		22.2888606544		11.9682012462
34.602521686		34.139070456		0.463451230024
35.339894342		34.7331593095		0.606735032466
23.8954398833		35.1914325524		-11.2959926692
6.65965767897		23.8815474062		-17.2218897272
-6.95936704212		6.66722111541		-13.6265881575
-15.9555744753		-6.94153802143		-9.01403645388
-14.0572498079		-15.7133218148		1.65607200685
-5.62939503711		-13.949182193		8.31978715591
5.43404219914		-5.61560433117		11.0496465303
19.7295758656		5.44404002969		14.285535836
35.1063526999		19.732030905		15.3743217949
38.2535270377		35.044114137		3.20941290076
38.8701822343		37.9430514497		0.927130784548
31.1580847694		38.6434508203		-7.48536605093
14.1689188969		31.1290413079		-16.9601224111
-6.1500217305		14.1641470465		-20.314168777
-21.391553076		-6.14204553437		-15.2495075416
-25.9001559704		-21.3414537974		-4.55870217308
-27.7569432178		-25.7764192719		-1.98052394592
-16.5058380669		-27.5767975621		11.0709594953
2.52822489805		-16.4892323491		19.0174572472
19.9088277005		2.52573275648		17.383094944
39.8945013691		19.9125532199		19.9819481492
52.0655646461		39.8796786773		12.1858859688
52.991026124		51.9603049595		1.03072116447
50.0966795557		52.1169434746		-2.0202639189
31.01286231		50.0399148284		-19.0270525184
13.3341154763		31.0149405948		-17.6808251186
-8.11863151514		13.3292014824		-21.4478329975
-28.4162051364		-8.11730642103		-20.2988987154
-36.7126917648		-28.3884771206		-8.32421464413
-39.6270066398		-36.6331550202		-2.99385161964
-24.2397272421		-39.4900311132		15.250303871
-5.3446306028		-24.2337786783		18.8891480755
21.1160473359		-5.3373427809		26.4533901168
46.7909602627		21.1154692116		25.675491051
58.6113488719		46.7721090341		11.8392398379
66.6508439501		58.592405572		8.05843837805
55.4623630642		66.362036872		-10.8996738078
38.210082307		55.4475937239		-17.2375114169
23.1295827352		38.2142309619		-15.0846482267
-7.62959756227		23.1152198169		-30.7448173792
-26.4242922406		-7.62003860242		-18.8042536382
-42.1648141115		-26.4191840334		-15.7456300781
-38.5459138984		-42.0223935739		3.47647967547
-35.1480403495		-38.5548893457		3.40684899613
-8.8802061671		-35.1046602719		26.2244541048
11.0675292275		-8.88608753517		19.9536167626
35.7546330861		11.072269174		24.6823639121
48.5783125605		35.7383144493		12.8399981112
58.2758516998		48.5660643031		9.70978739672
52.460694734		57.950253888		-5.48955915401
42.463310688		52.4280040748		-9.96469338683
22.2526714853		42.4417476973		-20.189076212
0.213136773074		22.2506236703		-22.0374868973
-17.0925781609		0.219223258353		-17.3118014193
-24.6949890314		-17.0628042656		-7.6321847658
-24.2715516973		-24.4751301085		0.203578411232
-21.2057889718		-23.9071385503		2.70134957855
2.40662372574		-21.1575826707		23.5642063964
16.2954141644		2.39309856218		13.9023156022
31.4484952155		16.2984102447		15.1500849708
39.5528732386		31.4232070643		8.12966617429
35.790119482		39.1921297953		-3.4020103133
30.2029907758		35.7489045243		-5.54591374852
19.5619521668		30.1658115509		-10.6038593841
-0.980824927616		19.5422494071		-20.5230743348
-4.6614218615		-0.931343037372		-3.73007882413
-15.8703061237		-4.72400417036		-11.1463019533
-13.6573446152		-15.6798919415		2.02254732626
-2.887797395		-13.5686526253		10.6808552303
10.4283995518		-2.87905030294		13.3074498547
17.4205290286		10.3986923158		7.02183671287
30.7332796164		17.4502308532		13.2830487632
41.5309760524		30.7246578864		10.806318166
37.1395272388		41.2734093382		-4.13388209945
22.8994580018		37.0876193463		-14.1881613445
14.994385084		22.9246076188		-7.93022253489
-2.01470667278		14.9663011397		-16.9810078125
-18.0509749425		-2.01292545253		-16.03804949
-23.6168521877		-18.0093593619		-5.60749282574
-23.6828118573		-23.3537021282		-0.329109729098
-12.5448396655		-23.5465376392		11.0016979737
1.5320020766		-12.5356365129		14.0676385895
18.8306627208		1.53852475498		17.2921379658
38.6079246339		18.8342635808		19.7736610532
50.6067672174		38.5928192756		12.0139479418
52.2514191155		50.5134363442		1.73798277125
51.3299894191		51.396058584		-0.0660691649143
26.5060620186		51.273963555		-24.7679015364
5.77270300471		26.5099932843		-20.7372902796
-14.2074638902		5.77361168015		-19.9810755704
-32.4381873099		-14.205069184		-18.2331181259
-37.6673931114		-32.3953285619		-5.27206454954
-42.9470641691		-37.668307028		-5.27875714109
-23.5229203628		-42.8246141646		19.3016938017
0.743101708845		-23.5178679115		24.2609696204
27.9256088414		0.745303007035		27.1803058343
44.6745029865		27.9149961648		16.7595068217
62.9944781702		44.677056244		18.3174219263
67.7553648094		62.9488253762		4.8065394332
59.1765556929		67.3943072977		-8.21775160479
35.3365529456		59.1495115607		-23.8129586151
13.1697032781		35.338133208		-22.16842993
-14.5129372464		13.1652820026		-27.678219249
-34.2297587397		-14.5059122823		-19.7238464574
-37.9987929795		-34.1796370508		-3.81915592866
-44.9853860372		-38.0528085863		-6.93257745093
-22.4189331448		-44.8746713504		22.4557382055
-11.3432916959		-22.4384786082		11.0951869124
18.789948278		-11.3223404842		30.1122887622
37.6185405861		18.7806816393		18.8378589468
54.7887109079		37.6159829264		17.1727279815
55.3855872015		54.7073148515		0.678272349974
45.0622630639		55.2230286379		-10.160765574
31.9416044807		45.0521319913		-13.1105275106
16.6711461294		31.9362805326		-15.2651344032
-2.9727388638		16.664008096		-19.6367469598
-22.5014815948		-2.97258879234		-19.5288928024
-22.2222418241		-22.4224596663		0.200217842108
-23.369596448		-22.697773289		-0.671823159006
-10.4148599457		-23.2324858786		12.8176259329
2.44363012745		-10.4151488328		12.8587789602
21.00223027		2.45505475085		18.5471755191
28.6987098441		20.9724162171		7.72629362703
40.2277227604		28.7191764558		11.5085463047
37.3884407172		40.0286157853		-2.6401750681
24.4769527917		37.3169821035		-12.8400293118
16.3023511838		24.497907712		-8.19555652825
1.95914711194		16.2786137136		-14.3194666017
-12.2713886955		1.9594231031		-14.2308117986
-14.0289006906		-12.1902571231		-1.83864356753
-14.6786458596		-13.6717832748		-1.00686258481
-7.12365230603		-14.4446316073		7.32097930131
14.3944636073		-7.0929720577		21.487435665
27.776877999		14.3813426745		13.3955353245
35.2173409173		27.7501942548		7.46714666242
37.06499984		35.101662466		1.96333737401
34.7237742896		35.68991021		-0.966135920439
19.2799017418		34.6536196531		-15.3737179113
10.4278752828		19.301701081		-8.87382579821
-9.48142884593		10.4023967628		-19.8838256087
-21.9177053288		-9.46739304023		-12.4503122886
-29.1067499082		-21.8910919946		-7.21565791367
-19.3849497275		-28.7743186721		9.38936894458
-15.1602252745		-19.4386903188		4.27846504426
8.91324152286		-15.1176365165		24.0308780394
27.3788870367		8.9070792804		18.4718077563
48.9417750291		27.3827453723		21.5590296569
58.7529960708		48.9189644217		9.83403164909
52.4316368981		58.426863053		-5.99522615494
43.4642065971		52.4092202585		-8.94501366138
21.1637908134		43.4384904363		-22.2746996228
0.0234082416943		21.1650199541		-21.1416117124
-17.5396226197		0.0281709950159		-17.5677936147
-32.2895643491		-17.5342478003		-14.7553165488
-40.5921594903		-32.2659163179		-8.32624317235
-40.8327839664		-40.4218092794		-0.410974686965
-22.2579363467		-40.7499239957		18.491987649
4.118497599		-22.2502911279		26.3687887269
30.3612438698		4.11840103121		26.2428428386
47.8377394736		30.3521924441		17.4855470295
64.5087956091		47.8363582524		16.6724373567
61.3772760823		64.3826778294		-3.00540174712
50.6098835974		61.3054480069		-10.6955644095
32.7171519947		50.5928846317		-17.8757326371
1.65043338047		32.7064190937		-31.0559857132
-15.4062896988		1.66220009684		-17.0684897956
-37.163565344		-15.4124995921		-21.7510657518
-37.7166790202		-37.0980825685		-0.618596451719
-33.0413142042		-37.3161104167		4.27479621256
-27.0374718856		-33.0181364313		5.98066454568
3.30091014516		-27.0054136774		30.3063238225
22.0657584014		3.29148458418		18.7742738172
38.4289843468		22.0618719799		16.3671123668
50.714863176		38.4191155727		12.2957476033
54.8395610124		50.6588704571		4.18069055534
43.912447434		54.5923883308		-10.6799408968
28.4126354557		43.8994817182		-15.4868462625
10.6332562712		28.4085253011		-17.7752690299
-11.5520255049		10.6277614102		-22.1797869151
-22.9988105067		-11.5336621057		-11.465148401
-32.0726842535		-22.9875903874		-9.08509386606
-24.772420522		-31.718711933		6.94629141096
-7.85620535918		-24.7412636317		16.8850582725
10.7958929092		-7.85346328464		18.6493561939
20.1859404056		10.7731627547		9.41277765091
34.6085304476		20.2034301836		14.405100264
35.6304409666		34.5187111531		1.11172981351
34.2344326642		34.8244680261		-0.590035361974
20.4289347291		34.1465522381		-13.717617509
14.2621228884		20.4654535001		-6.20333061174
-2.14972644758		14.2245114361		-16.3742378836
-12.8124880358		-2.13427298849		-10.6782150473
-14.7882553091		-12.7185172032		-2.0697381059
-15.4590702928		-14.4435783615		-1.01549193129
0.0276210065062		-15.3536489102		15.3812699167
10.1197973214		0.0113719469472		10.1084253745
25.4424582594		10.1357674555		15.3066908038
33.3691481115		25.4159857322		7.95316237933
37.1404059463		33.3108662796		3.82953966673
31.3475277202		36.5872115478		-5.23968382764
16.4916440673		31.3075806525		-14.8159365852
5.90382291389		16.5047071474		-10.6008842335
-7.45901459907		5.89419080089		-13.3532054
-21.0000659879		-7.45950701834		-13.5405589696
-25.3590169532		-20.9473730845		-4.41164386869
-16.2580165195		-25.0341999298		8.77618341029
-4.08421701084		-16.2445323661		12.1603153552
14.7242848649		-4.07060144521		18.7948863101
36.4613952058		14.7278415792		21.7335536266
46.3619146057		36.4387985564		9.9231160493
60.2613847316		46.3759025745		13.8854821571
49.1708066116		60.0300568458		-10.8592502342
36.6324961477		49.1656271027		-12.5331309551
18.8177842037		36.6211561944		-17.8033719907
-8.06591316089		18.8088287877		-26.8747419486
-26.3874532238		-8.05763234568		-18.3298208781
-38.2687038743		-26.3735438273		-11.8951600469
-45.686864793		-38.2451585975		-7.44170619548
-29.1182166916		-45.5127447827		16.3945280911
-16.5163690998		-29.1274831527		12.6111140528
14.3696477009		-16.4981089546		30.8677566555
35.7861193538		14.3627992128		21.4233201411
56.9555482896		35.7858469172		21.1697013724
66.3373532277		56.9314843982		9.40586882947
66.6165462183		66.1868396895		0.429706528857
50.2624774967		66.5216680078		-16.2591905111
26.605325486		50.2534539704		-23.6481284844
1.20282957105		26.6038757832		-25.4010462122
-27.6209575091		1.20050563338		-28.8214631425
-41.534641351		-27.6052675782		-13.9293737728
-42.3288923114		-41.4387728839		-0.890119427584
-38.7186599358		-41.7169988481		2.99833891231
-18.8164995344		-38.6678515206		19.8513519862
8.70046670048		-18.8097842479		27.5102509483
28.6627799492		8.69382029899		19.9689596502
43.9193575048		28.6552372047		15.2641203001
54.813119373		43.9067150513		10.9064043217
55.9796279453		54.7032006603		1.27642728504
40.115979008		55.8706981537		-15.7547191457
22.9336209557		40.1135651565		-17.1799442007
4.86882506216		22.9322006715		-18.0633756093
-15.3222624228		4.86592231395		-20.1881847368
-27.0872484684		-15.3061337063		-11.7811147622
-31.2121344602		-27.0310599163		-4.18107454393
-17.6574639421		-31.0290307359		13.3715667938
-11.5384872711		-17.6941397472		6.15565247619
9.2426529314		-11.5016141248		20.7442670562
29.3918222937		9.24189853003		20.1499237636
31.242239304		29.3303754923		1.91186381166
35.6645952338		31.3660311549		4.29856407888
33.7684284674		35.0227801122		-1.25435164479
20.9632792674		33.6831345146		-12.7198552472
7.82712586962		20.9622955816		-13.135169712
-0.157315391554		7.84977443012		-8.00708982167
-14.0216672181		-0.181369309393		-13.8402979087
-13.409651998		-13.9037236224		0.494071624463
-5.81212377366		-13.2426591091		7.43053533549
-0.108211686821		-5.83338559863		5.72517391181
15.3158624195		-0.0675318212092		15.3833942407
32.4656066991		15.3191121275		17.1464945716
34.8727418579		32.4007925842		2.47194927371
41.5765403498		34.9691197035		6.60742064622
34.2051724551		41.1531151284		-6.94794267328
14.7102621968		34.1737150226		-19.4634528258
-2.01324416988		14.7144793958		-16.7277235657
-12.2112143829		-1.99558276684		-10.215631616
-22.832528946		-12.213167518		-10.619361428
-29.4567885494		-22.8061226775		-6.65066587187
-16.8226464632		-29.2156778234		12.3930313603
-4.40031429322		-16.823321187		12.4230068937
18.5068705925		-4.3839931551		22.8908637476
35.5927488604		18.4996424823		17.0931063781
49.365675653		35.5858174514		13.7798582016
53.2578394762		49.3083291438		3.94951033241
54.943175283		53.1229966869		1.8201785961
30.8999114943		54.8717595758		-23.9718480816
8.80357331281		30.901739485		-22.0981661722
-5.67913185097		8.81479170054		-14.4939235515
-33.1094132823		-5.69341821407		-27.4159950683
-41.7197782002		-33.082850075		-8.63692812522
-39.8646050474		-41.4649617522		1.60035670485
-27.0558077015		-39.7787030253		12.7228953238
-4.28970445325		-27.0404725242		22.750768071
15.6305383596		-4.29282350558		19.9233618652
43.1979946138		15.6372624412		27.5607321726
59.3335862301		43.1862907448		16.1472954853
68.3271013684		59.3115589339		9.0155424345
58.7129150046		68.0057269159		-9.29281191126
45.2841799505		58.6986770049		-13.4144970544
19.1312617335		45.2684776304		-26.1372158969
-6.06949267294		19.1319837529		-25.2014764259
-31.4986967359		-6.06967091181		-25.4290258241
-40.9470298427		-31.474140475		-9.47288936777
-39.8726330176		-40.7504022729		0.87776925529
-30.3776841277		-39.7482032846		9.37051915686
-16.869727685		-30.3626682454		13.4929405603
6.43084278601		-16.8556054139		23.2864482
36.1192854893		6.4353708842		29.6839146051
48.0132232287		36.0998871543		11.9133360744
58.3103607612		48.0067491948		10.3036115664
50.6038947041		57.99658566		-7.39269095582
36.3268605287		50.5774891213		-14.2506285926
18.0228697931		36.3193118392		-18.296442046
-2.26755837059		18.0202049445		-20.2877633151
-21.2521743224		-2.26586591469		-18.9863084077
-29.1498029501		-21.2231366884		-7.92666626168
-25.2780247988		-28.7724601561		3.49443535729
-15.5739478296		-25.2184027694		9.64445493988
-1.56783710617		-15.5588089431		13.9909718369
11.2965114723		-1.57099788538		12.8675093577
23.5216775862		11.2944810967		12.2271964894
38.0021817987		23.5279872095		14.4741945891
42.581453669		37.952169664		4.62928400501
27.5444126688		42.4163550867		-14.8719424179
22.3050944081		27.588633283		-5.2835388749
0.494674191525		22.2648352829		-21.7701610914
-8.13917730181		0.521436044889		-8.6606133467
-10.8968693809		-8.05599095443		-2.84087842647
-16.2542183162		-10.9732101684		-5.28100814782
-6.89770494689		-15.9204163497		9.02271140285
1.11435293658		-6.90660067873		8.0209536153
18.3611158136		1.14206669796		17.2190491157
31.6106719249		18.3525688506		13.2581030744
40.7531270762		31.5944711398		9.15865593638
32.2724134881		40.4141002195		-8.14168673146
26.9463478927		32.3049449525		-5.35859705983
8.14992267396		26.9044088547		-18.7544861807
-7.0682391843		8.15608539889		-15.2243245832
-18.5375555099		-7.05778078396		-11.4797747259
-27.0075484563		-18.5225804085		-8.48496804785
-24.4050032523		-26.7134336112		2.30843035886
-13.0564901323		-24.325541172		11.2690510396
-3.02297292028		-13.0622353875		10.0392624672
26.1730124566		-2.99990442445		29.172916881
44.2926624149		26.1632949426		18.1293674723
51.7004587378		44.2616089935		7.43884974429
51.4853351621		51.4860432083		-0.00070804617463
52.6359139823		51.9405692941		0.69534468821
28.2743481879		52.5683953168		-24.2940471289
12.7297948891		28.285244072		-15.5554491829
-19.9322720099		12.715657227		-32.6479292369
-33.8220459956		-19.915837812		-13.9062081836
-44.7139086108		-33.8123302663		-10.9015783444
-35.608989556		-44.4208802514		8.81189069538
-28.1644881241		-35.6210740075		7.45658588345
-2.04145136642		-28.1344359911		26.0929846247
20.6920271221		-2.04428688103		22.7363140032
45.1363091053		20.6935637374		24.4427453678
56.6827385847		45.1172122496		11.5655263351
61.082109072		56.6300501852		4.45205888677
51.957517375		60.7573790179		-8.79986164285
34.1887576008		51.9344095556		-17.7456519549
9.39886580863		34.181074454		-24.7822086453
-9.51192714863		9.40498581823		-18.9169129669
-32.8192628205		-9.51684274494		-23.3024200756
-40.2734399059		-32.7884813295		-7.48495857636
-43.3698312618		-40.1993559959		-3.17047526588
-31.1340666937		-43.1804126502		12.0463459565
-6.989339734		-31.1166916786		24.1273519447
20.2370194111		-6.98700706738		27.2240264785
38.1910791684		20.2280603594		17.963018809
55.1264405473		38.1894059036		16.9370346437
60.1981715123		55.0817755642		5.11639594807
46.6038921912		60.00041092		-13.3965187288
31.6992658234		46.6006677532		-14.9014019298
18.1253208865		31.7025449014		-13.5772240149
-4.2309555352		18.1119808785		-22.3429364137
-23.4739449409		-4.22736410236		-19.2465808386
-30.6937326856		-23.4418172881		-7.25191539743
-29.5440814124		-30.4156584936		0.871577081236
-17.0932542245		-29.4447501535		12.351495929
2.65690003122		-17.0794122195		19.7363122507
14.846122145		2.64234829887		12.2037738461
33.0271104133		14.8589481294		18.1681622839
39.2080058378		32.9896979326		6.21830790516
40.9692671012		39.0809846134		1.88828248776
33.5988457974		40.6610691355		-7.06222333806
20.0820890995		33.5714597801		-13.4893706806
1.36216538459		20.0721615502		-18.7099961656
-5.24939640412		1.39723388021		-6.64663028433
-14.6578220723		-5.27097319146		-9.38684888088
-11.9724045817		-14.4003762222		2.42797164051
-6.28079077653		-11.8902535466		5.60946277011
13.1871722798		-6.24121874143		19.4283910212
25.5433316327		13.1733580437		12.369973589
29.4666376601		25.4849172685		3.9817203916
40.0827097309		29.5257807439		10.556928987
38.954523397		39.9099947708		-0.955471373765
25.7694003564		38.859334825		-13.0899344686
5.20098631577		25.7566427444		-20.5556564286
-6.63427818437		5.21722767503		-11.8515058594
-19.9507065345		-6.63895550252		-13.311751032
-23.7281471902		-19.8915557295		-3.83659146072
-19.4451696448		-22.9924507532		3.54728110846
-7.86656762842		-19.3909938974		11.524426269
4.03593324773		-7.8653927988		11.9013260465
30.8408311557		4.05488954498		26.7859416107
40.7095032194		30.8173178072		9.89218541222
50.2510667537		40.7077669419		9.54329981178
54.0952078192		50.1910930318		3.90411478736
40.9816511062		53.9086304437		-12.9269793375
22.50087285		40.9709997898		-18.4701269398
0.253588932667		22.4963444499		-22.2427555172
-15.7291826806		0.262085384096		-15.9912680647
-35.1883722626		-15.7347000989		-19.4536721637
-42.2740797531		-35.155623711		-7.11845604217
-38.8570413542		-41.8558798919		2.99883853769
-21.7341792898		-38.8004646391		17.0662853493
0.6390698762		-21.7274871973		22.3665570735
23.7360202206		0.639769877564		23.096250343
45.9600008689		23.7351703011		22.2248305679
65.6623456904		45.95713527		19.7052104204
67.6967651825		65.6010560572		2.09570912528
55.0829812591		67.5370649515		-12.4540836924
38.0533838043		55.0730046107		-17.0196208064
7.50602071459		38.0417530034		-30.5357322888
-12.1785692468		7.51449870396		-19.6930679507
-31.201848299		-12.1776865838		-19.0241617152
-40.2306702784		-31.1774780166		-9.0531922618
-43.0110152396		-40.1487074052		-2.86230783439
-24.1387038588		-42.9067230295		18.7680191707
-2.61028008377		-24.135453939		21.5251738552
23.1514481446		-2.6065042787		25.7579524233
42.3923919151		23.1450533818		19.2473385332
51.8324095948		42.369455496		9.46295409887
54.9041037025		51.7575152118		3.14658849068
46.6664170624		54.5778159232		-7.91139886078
35.2793301866		46.6502013449		-11.3708711584
6.83836616564		35.2590667726		-28.4207006069
-4.6916228405		6.85834364225		-11.5499664827
-23.5596711187		-4.70720275439		-18.8524683643
-27.6740208246		-23.5105533426		-4.16346748204
-20.4537245722		-27.2419913849		6.78826681261
-9.89210702149		-20.4328359571		10.5407289357
7.44972505639		-9.87502680945		17.3247518658
20.6087981066		7.44078884543		13.1680092612
33.9679179896		20.6093670454		13.3585509442
40.3183047626		33.9332931775		6.38501158515
35.2282420761		39.8122735436		-4.58403146759
30.7497351782		35.2415828521		-4.49184767393
17.0808720061		30.6983179019		-13.6174458958
-4.82398108857		17.0680841927		-21.8920652813
-15.1339114518		-4.802560703		-10.3313507488
-14.3989653747		-14.9669990927		0.568033718001
-12.6458175679		-14.0874071677		1.44158959976
0.0149929285202		-12.5576467773		12.5726397058
13.7466387394		0.0180658736812		13.7285728657
23.7401241099		13.7334655295		10.0066585804
38.5686651713		23.7556229316		14.8130422397
35.9841248236		38.4299085282		-2.44578370462
30.4565524326		35.8984389514		-5.44188651883
19.1933270525		30.4173874223		-11.2240603698
1.00039302095		19.1776431642		-18.1772501433
-8.59093089922		1.02198808141		-9.61291898064
-18.2050256972		-8.59105436938		-9.61397132777
-28.1002273476		-18.2065027232		-9.8937246244
-18.0118958113		-27.800064249		9.78816843774
-12.3966432096		-18.0472181395		5.65057492986
10.1498134704		-12.3585372062		22.5083506765
26.4984045762		10.1416884747		16.3567161016
49.3870982236		26.50682266		22.8802755636
55.9914249843		49.3531098565		6.63831512777
